Raster;Temperature;Layer;Speed;value
1;1;1;1;25,073952
1;1;1;1;24,835421
1;1;2;2;24,835421
1;1;2;2;24,511139
1;1;3;3;25,194077
1;1;3;3;25,073952
1;2;1;1;24,984236
1;2;1;1;25,224197
1;2;2;2;25,375341
1;2;2;2;24,954401
1;2;3;3;24,776142
1;2;3;3;25,284546
1;3;1;2;25,194077
1;3;1;2;24,628567
1;3;2;3;24,805763
1;3;2;3;25,044012
1;3;3;1;25,496910
1;3;3;1;24,865112
2;1;1;3;20,221758
2;1;1;3;21,338795
2;1;2;1;21,415421
2;1;2;1;21,672834
2;1;3;2;21,441023
2;1;3;2;21,262442
2;2;1;2;20,785183
2;2;1;2;21,933342
2;2;2;3;21,985819
2;2;2;3;22,329987
2;2;3;1;21,543743
2;2;3;1;22,038420
2;3;1;3;20,318636
2;3;1;3;19,278023
2;3;2;1;21,211693
2;3;2;1;21,802700
2;3;3;2;22,012104
2;3;3;2;22,924746
